lemma_kek,gloss_kek,gloss_en,gloss_en_past,gloss_en_pp,gloss_es,gloss_es_past_3sg,gloss_es_pp,gloss_es_gerund,category,transitivity,agent_class_any_of,agent_class_none_of,theme_class_any_of,theme_class_none_of,goal_class_any_of,goal_none_of,notes,p_weight,p_debug_percent
war,wark,sleep,slept,slept,dormir,durmió,dormido,durmiendo,v_sleep|v_state,intr,human;kinship;animal_domesticated;animal_wild,emotion,,,,,,2326.305067153626,0.9399846254576871
utz’,utz’uk,smell,,,oler,olió,olido,,v_perceptive,tr,human;kinship;animal_domesticated;animal_wild,emotion,animal_domesticated;animal_wild;food;plant,,,,,984.7666521101588,0.3979123485208221
at'isim,at'isimak,sneeze,,,estornudar,,,,v_instant|v_involuntary,intr,human;kinship,emotion,,,,,,133.86488420699928,0.05409046939712622
joq'ya,joq'yank,snore,,,roncar,,,,v_sleep|v_habitual,intr,human;kinship,emotion,,,,,,69.18309709189363,0.02795465157435083
chuub',chuub'ank,spit,spat,spat,escupir,escupió,escupido,,v_involuntary|v_action,intr,human;kinship,emotion,,,,,,368.6945064519577,0.14897752339059983
kiib',kiib'ank,split,split,split,partir,partió,partido,,v_action|v_creation,tr,human;kinship,emotion,wood,,,,,2796.8338463090777,1.130110084274947
alab’tei,alab’teik,sprout,,,brotar,,,,v_environmental|v_process,intr,plant,,,,,,,118.39499222293017,0.047839586472167274
ch’uki,ch’ukink,spy,,,espira,,,,v_perceptive|v_social,intr,human;kinship,emotion,artifact;body_part;clothing;dish,,,,,670.9137099554113,0.2710945272274633
chokob’a ib’,chokob’ank ib’,squat,,,agacharse,,,,v_motion|v_state,intr,human;kinship,emotion,,,,,,208.92961308540387,0.08442169811519971
pitz',pitz’ok,squeeze,,,exprimir,exprimió,exprimido,,v_action|v_process,tr,human;kinship,emotion,fruit;plant,,,,,423.3179328088207,0.17104908300255361
xeq,xeq'ok,stab,,,apuñalar,,,,v_action|v_conflict,tr,human;kinship,emotion,animal_domesticated;animal_wild;human;kinship,,,,,331.1311214825911,0.1337993746387873
katz,katzok,sting,stung,stung,picar,,,,v_action|v_conflict,tr,insect,,,,,,,341.4548873833601,0.13797087448227982
b'oj,b'ojok,stitch,,,bordar,,,,v_creation|v_work|v_process,tr,human;kinship,emotion,clothing,,,,,267.09555875589854,0.10792467518706346
ja’n,ja’nak,strut,,,alardear,,,,v_motion|v_expression|v_social,intr,human;kinship;animal_domesticated,emotion,,,,,,127.83997194630244,0.051655997248674965
china,chinank,sunbathe,,,asolearse,,,,v_action|v_health,intr,human;kinship,emotion,,,,,,31.141055844467598,0.012583093304325294
nuq,nuq'uk,swallow,,,tragar,,,,v_consumption|v_action,intr,human;kinship,emotion,,,,,,380.1893963205613,0.15362223654554183
tiqob',tiqob'ak,sweat,,,sudar,,,,v_involuntary|v_health,intr,human;kinship;occupation,emotion,,,,,,575.4399373371566,0.23251666413343258
numx,numxik,swim,swam,swum,nadar,,,,v_motion|v_action,intr,human;kinship;animal_domesticated;animal_wild,emotion,,,,,,640.7176188675537,0.25889326361321374
k'a'uxl,k'a'uxlak,think,thought,thought,pensar,pensó,pensado,,v_cognition|v_state,intr,human;kinship,emotion,,,,,,11306.633979496399,4.568645039925117
pum,pumuk,throw,threw,thrown,tirar,,,,v_action|v_motion,tr,human;kinship,emotion,artifact,,,,,1659.5869074375614,0.6705853843627285
b'ak,b'ak’ok,tie,,,amarrar,,,,v_action|v_creation,tr,human;kinship,emotion,artifact,,,,,1015.4689924330796,0.41031817107462276
b’iy,b’iyok,touch,,,tocar,,,,v_action|v_perceptive,tr,human;kinship,emotion,human;kinship,,,,,1876.4341719560857,0.7582063492989272
b’elank,b’elank,transport,,,transportar,,,,v_action|v_work|v_motion,tr,human;kinship,emotion,artifact;substance;tool,,,,,1318.2567385564062,0.5326649045927494
chu,chu'uk,urinate,,,orinar,,,,v_consumption|v_involuntary,intr,human;kinship;animal_domesticated;animal_wild,emotion,,,,,,163.43058427231378,0.06603701239128876
xa'w,xa'wak,vomit,,,vomitar,,,,v_involuntary|v_health,intr,human;kinship;occupation,emotion,,,,,,259.02002045313253,0.1046616113894238
juch,juch'uk,vote,,,votar,,,,v_social|v_communicative,intr,human;kinship,emotion,,,,,,2550.742783711359,1.0306726465241722
b'e,b'ek,walk,,,caminar,,,,v_motion|v_action,intr,human;kinship,,,,,,,2435.940447292027,0.9842847360456766
b'e,b'ek,walk,,,andar,,,,v_motion|v_action,intr,human;kinship,,,,,,,2435.940447292027,0.9842847360456766
b’alaln,b’alalnak,wander,,,vagar,,,,v_motion|v_action,intr,human;kinship,emotion,,,,,,279.68338463090777,0.1130110084274947
ch'a,ch'ajok,wash,,,lavar,,,,v_hygiene|v_action,tr,human;kinship,emotion,artifact;body_part;clothing;dish,,,,,940.4448517263513,0.38000334272376235
puch',puch'uk,wash,,,lavar,,,,v_hygiene|v_action,tr,human;kinship,emotion,clothing,,,,to wash clothing,940.4448517263513,0.38000334272376235
cha’b’e,cha’b’enk,water,,,regar,,,,v_work|v_maintenance|v_action,tr,human;kinship,emotion,plant,,,,,4786.30092322638,1.9339893740383707
kem,kemok,weave,wove,woven,tejer,tejió,tejido,,v_creation|v_work|v_process,tr,human;kinship,emotion,clothing,,,,,225.59700688435748,0.09115645278632066
alan,alank,weigh,,,pesar,,,,v_state|v_action|v_work,tr,human;kinship,emotion,substance,,,,,2973.9477452346046,1.201676081484662
hob’a,hob’ank,whistle,,,silbar,,,,v_communicative|v_expression,intr,human;kinship;occupation,emotion,,,,,,386.0705432153811,0.1559986177602176
xuxb’,xuxb’ak,whistle,,,chiflar,,,,v_communicative|v_expression,intr,human;kinship;occupation,emotion,,,,,,386.0705432153811,0.1559986177602176
k’ojle,k’ojlenk,wiggle,,,menearse,,,,v_motion|v_action,intr,human;kinship;occupation,emotion,,,,,,149.0504643386196,0.06022647109953586
k'anjel,k'anjelak,work,,,trabajar,,,,v_work|v_habitual,intr,human;kinship;occupation,emotion,,,,,,9404.448517263514,3.8000334272376244
